Produkt-Typ (Rohr),Produkt-Norm (Rohr),Herstellungsart,Nennweite (DN),Nennweite (Zoll),Wandstärke (mm),Schedule,Außendurchmesser (mm),Innendurchmesser (mm),Fugenform,Oberfläche,Lieferzustand,Werkstoffnummer,DIN/EN-Bezeichnung,Stahlsorte,Handelsname,UNS-Nummer,Gussnummer,Werkstoff Norm,Zulassungen,Ursprung
,,,,,,,,,,,,1.0441,St45.8 / E255,Grade II,MCMN,S30153,CX2MW,A376,,Jemen
,,,,,,,,,,,,1.0445,StE320.7 / L320M,Type II,Formadur 2738,S31003,CX2M ,A381,,Jordanien
,,,,,,,,,,,,1.0446,D25-2 / C26D,II,Thermodur 2740,S31002,N 12MV,A387,,Kambodscha
,,,,,,,,,,,,1.0451,C18D,Grade Type 58,Cryodur 2743,S32304,12MV,A389,,Kamerun
,,,,,,,,,,,,1.0457,ZStE260P / HC260P,Grade 58,Cryodur 2746,S20103,N7M,A401,,Kanada
,,,,,,,,,,,,1.0458,L245MB,Type 58,ECN4M,S20100,N12MV,A403,,Kap Verde
,,,,,,,,,,,,1.0459,St52.0 / L355,58,Formadur 2764,S20200,CW6M,A409,,Kasachstan
,,,,,,,,,,,,1.0460,GS-38 / GE200,,Cryodur 2766,S70003,CY40,A414,,Katar
,,,,,,,,,,,,1.0461,St52.0 / P355T1,Grade Type 60,Böhler W750,S31600,N3M,A415,,Kenia
,,,,,,,,,,,,1.0462,P265NB,Grade 60,Thermodur 2782,S31600/S31603,N7M/N3M,A420,,Kirgisistan
,,,,,,,,,,,,1.0463,P265GH / HII,Type 60,R18So,S31603,CW12 MW,A423,,Kiribati
,,,,,,,,,,,,1.0467,P265GH,60,Thermodur 2787,S31651,CW6MC,A424,,Kolumbien
,,,,,,,,,,,,1.0469,P280GH,Grade Type 1,Formadur PH 42 Superclean,S31653,CU5MCuC,A426,,Komoren
,,,,,,,,,,,,1.0473,StE290.7TM / L290MB,Grade 1,TK 2796 PH 42 ESU,S32750,C2,A430,,Kongo
,,,,,,,,,,,,1.0475,StE320.7TM / L320M,Type 1,PH 42 SUPRA,J92205,,A446,,"Korea, Nord"
,,,,,,,,,,,,1.0476,C21,1,MS,S31753,,A447,,"Korea, Süd"
,,,,,,,,,,,,1.0481,P285NH / HIII,Grade Type Y35,Cryodur 2767,S603,,A450,,Kosovo
,,,,,,,,,,,,1.0482,P285NH,Grade Y35,Cryodur 2833,S31703,,A451,,Kroatien
,,,,,,,,,,,,1.0483,P305GH,Type Y35,SIHARD 2838,S32726,,A453,,Kuba
,,,,,,,,,,,,1.0484,TTSt41 / P310NB,Y35,Z1B,S31700,,A455,,Kuwait
,,,,,,,,,,,,1.0485,B500H / B500B,Grade Type 1020,Cryodur 2842,S31700/S31703,,A470,,Laos
,,,,,,,,,,,,1.0486,S235JRS,Grade 1020,Formadur 2891,S32900,,A471,,Lesotho
,,,,,,,,,,,,1.0487,S235JRS / GL-A,Type 1020,Thyrodur-2990,S31200,,A473,,Lettland
