Produkt-Typ (Rohr),Produkt-Norm (Rohr),Herstellungsart,Nennweite (DN),Nennweite (Zoll),Wandstärke (mm),Schedule,Außendurchmesser (mm),Innendurchmesser (mm),Fugenform,Oberfläche,Lieferzustand,Werkstoffnummer,DIN/EN-Bezeichnung,Stahlsorte,Handelsname,UNS-Nummer,Gussnummer,Werkstoff Norm,Zulassungen,Ursprung
,,,,,,,,,,,,,,Type 310S,,,,,,
,,,,,,,,,,,,,,310S,,,,,,
,,,,,,,,,,,,,,Grade Type FP310S,,,,,,
,,,,,,,,,,,,,,Grade FP310S,,,,,,
,,,,,,,,,,,,,,Type FP310S,,,,,,
,,,,,,,,,,,,,,FP310S,,,,,,
,,,,,,,,,,,,,,Grade Type MT310S,,,,,,
,,,,,,,,,,,,,,Grade MT310S,,,,,,
,,,,,,,,,,,,,,Type MT310S,,,,,,
,,,,,,,,,,,,,,MT310S,,,,,,
,,,,,,,,,,,,,,Grade Type AISI 310S,,,,,,
,,,,,,,,,,,,,,Grade AISI 310S,,,,,,
,,,,,,,,,,,,,,Type AISI 310S,,,,,,
,,,,,,,,,,,,,,AISI 310S,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S31008,,,,,,
,,,,,,,,,,,,,,Grade UNS S31008,,,,,,
,,,,,,,,,,,,,,Type UNS S31008,,,,,,
,,,,,,,,,,,,,,UNS S31008,,,,,,
,,,,,,,,,,,,,,F310H,,,,,,
,,,,,,,,,,,,,,WP310H,,,,,,
,,,,,,,,,,,,,,TP310H,,,,,,
,,,,,,,,,,,,,,310H,,,,,,
,,,,,,,,,,,,,,FP310H,,,,,,
,,,,,,,,,,,,,,Grade Type MT310H,,,,,,
,,,,,,,,,,,,,,Grade MT310H,,,,,,
,,,,,,,,,,,,,,Type MT310H,,,,,,
,,,,,,,,,,,,,,MT310H,,,,,,
,,,,,,,,,,,,,,Grade Type AISI 310H,,,,,,
,,,,,,,,,,,,,,Grade AISI 310H,,,,,,
,,,,,,,,,,,,,,Type AISI 310H,,,,,,
,,,,,,,,,,,,,,AISI 310H,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S31009,,,,,,
,,,,,,,,,,,,,,Grade UNS S31009,,,,,,
,,,,,,,,,,,,,,Type UNS S31009,,,,,,
,,,,,,,,,,,,,,UNS S31009,,,,,,
,,,,,,,,,,,,,,Grade Type 334,,,,,,
,,,,,,,,,,,,,,Grade 334,,,,,,
,,,,,,,,,,,,,,Type 334,,,,,,
,,,,,,,,,,,,,,334,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S33400,,,,,,
,,,,,,,,,,,,,,Grade UNS S33400,,,,,,
,,,,,,,,,,,,,,Type UNS S33400,,,,,,
,,,,,,,,,,,,,,UNS S33400,,,,,,
,,,,,,,,,,,,,,Grade Type HK,,,,,,
,,,,,,,,,,,,,,Grade HK,,,,,,
,,,,,,,,,,,,,,Type HK,,,,,,
,,,,,,,,,,,,,,HK,,,,,,
,,,,,,,,,,,,,,Grade Type HK40,,,,,,
,,,,,,,,,,,,,,Grade HK40,,,,,,
,,,,,,,,,,,,,,Type HK40,,,,,,
,,,,,,,,,,,,,,HK40,,,,,,
,,,,,,,,,,,,,,Grade Type HU,,,,,,
,,,,,,,,,,,,,,Grade HU,,,,,,
,,,,,,,,,,,,,,Type HU,,,,,,
,,,,,,,,,,,,,,HU,,,,,,
,,,,,,,,,,,,,,Grade Type HU50,,,,,,
,,,,,,,,,,,,,,Grade HU50,,,,,,
,,,,,,,,,,,,,,Type HU50,,,,,,
,,,,,,,,,,,,,,HU50,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N08005,,,,,,
,,,,,,,,,,,,,,Grade UNS N08005,,,,,,
,,,,,,,,,,,,,,Type UNS N08005,,,,,,
,,,,,,,,,,,,,,UNS N08005,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N08004,,,,,,
,,,,,,,,,,,,,,Grade UNS N08004,,,,,,
,,,,,,,,,,,,,,Type UNS N08004,,,,,,
,,,,,,,,,,,,,,UNS N08004,,,,,,
,,,,,,,,,,,,,,Grade Type HP,,,,,,
,,,,,,,,,,,,,,Grade HP,,,,,,
,,,,,,,,,,,,,,Type HP,,,,,,
,,,,,,,,,,,,,,HP,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S35315,,,,,,
,,,,,,,,,,,,,,Grade UNS S35315,,,,,,
,,,,,,,,,,,,,,Type UNS S35315,,,,,,
,,,,,,,,,,,,,,UNS S35315,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N08705,,,,,,
,,,,,,,,,,,,,,Grade UNS N08705,,,,,,
,,,,,,,,,,,,,,Type UNS N08705,,,,,,
,,,,,,,,,,,,,,UNS N08705,,,,,,
,,,,,,,,,,,,,,Grade Type CT15C,,,,,,
,,,,,,,,,,,,,,Grade CT15C,,,,,,
,,,,,,,,,,,,,,Type CT15C,,,,,,
,,,,,,,,,,,,,,CT15C,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N08151,,,,,,
,,,,,,,,,,,,,,Grade UNS N08151,,,,,,
,,,,,,,,,,,,,,Type UNS N08151,,,,,,
,,,,,,,,,,,,,,UNS N08151,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N08330,,,,,,
,,,,,,,,,,,,,,Grade UNS N08330,,,,,,
,,,,,,,,,,,,,,Type UNS N08330,,,,,,
,,,,,,,,,,,,,,UNS N08330,,,,,,
,,,,,,,,,,,,,,N08330,,,,,,
,,,,,,,,,,,,,,Grade Type MT330,,,,,,
,,,,,,,,,,,,,,Grade MT330,,,,,,
,,,,,,,,,,,,,,Type MT330,,,,,,
,,,,,,,,,,,,,,MT330,,,,,,
,,,,,,,,,,,,,,Grade Type EV16,,,,,,
,,,,,,,,,,,,,,Grade EV16,,,,,,
,,,,,,,,,,,,,,Type EV16,,,,,,
,,,,,,,,,,,,,,EV16,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S63018,,,,,,
,,,,,,,,,,,,,,Grade UNS S63018,,,,,,
,,,,,,,,,,,,,,Type UNS S63018,,,,,,
,,,,,,,,,,,,,,UNS S63018,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S63008,,,,,,
,,,,,,,,,,,,,,Grade UNS S63008,,,,,,
,,,,,,,,,,,,,,Type UNS S63008,,,,,,
,,,,,,,,,,,,,,UNS S63008,,,,,,
,,,,,,,,,,,,,,Grade Type EV8,,,,,,
,,,,,,,,,,,,,,Grade EV8,,,,,,
,,,,,,,,,,,,,,Type EV8,,,,,,
,,,,,,,,,,,,,,EV8,,,,,,
,,,,,,,,,,,,,,Grade Type EV12,,,,,,
,,,,,,,,,,,,,,Grade EV12,,,,,,
,,,,,,,,,,,,,,Type EV12,,,,,,
,,,,,,,,,,,,,,EV12,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S63012,,,,,,
,,,,,,,,,,,,,,Grade UNS S63012,,,,,,
,,,,,,,,,,,,,,Type UNS S63012,,,,,,
,,,,,,,,,,,,,,UNS S63012,,,,,,
,,,,,,,,,,,,,,N08800,,,,,,
,,,,,,,,,,,,,,Grade Type UNS N08810,,,,,,
,,,,,,,,,,,,,,Grade UNS N08810,,,,,,
,,,,,,,,,,,,,,Type UNS N08810,,,,,,
,,,,,,,,,,,,,,UNS N08810,,,,,,
,,,,,,,,,,,,,,Grade Type F56,,,,,,
,,,,,,,,,,,,,,Grade F56,,,,,,
,,,,,,,,,,,,,,Type F56,,,,,,
,,,,,,,,,,,,,,F56,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S33228,,,,,,
,,,,,,,,,,,,,,Grade UNS S33228,,,,,,
,,,,,,,,,,,,,,Type UNS S33228,,,,,,
,,,,,,,,,,,,,,UNS S33228,,,,,,
,,,,,,,,,,,,,,Grade Type F321H,,,,,,
,,,,,,,,,,,,,,Grade F321H,,,,,,
,,,,,,,,,,,,,,Type F321H,,,,,,
,,,,,,,,,,,,,,F321H,,,,,,
,,,,,,,,,,,,,,Grade Type TP321H,,,,,,
,,,,,,,,,,,,,,Grade Type 321H,,,,,,
,,,,,,,,,,,,,,Grade 321H,,,,,,
,,,,,,,,,,,,,,Type 321H,,,,,,
,,,,,,,,,,,,,,321H,,,,,,
,,,,,,,,,,,,,,Grade Type FP321H,,,,,,
,,,,,,,,,,,,,,Grade FP321H,,,,,,
,,,,,,,,,,,,,,Type FP321H,,,,,,
,,,,,,,,,,,,,,FP321H,,,,,,
,,,,,,,,,,,,,,Grade Type WP321H,,,,,,
,,,,,,,,,,,,,,Grade WP321H,,,,,,
,,,,,,,,,,,,,,Type WP321H,,,,,,
,,,,,,,,,,,,,,WP321H,,,,,,
,,,,,,,,,,,,,,Grade Type AISI 321H,,,,,,
,,,,,,,,,,,,,,Grade AISI 321H,,,,,,
,,,,,,,,,,,,,,Type AISI 321H,,,,,,
,,,,,,,,,,,,,,AISI 321H,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S32109,,,,,,
,,,,,,,,,,,,,,Grade UNS S32109,,,,,,
,,,,,,,,,,,,,,Type UNS S32109,,,,,,
,,,,,,,,,,,,,,UNS S32109,,,,,,
,,,,,,,,,,,,,,Grade Type XEV-F,,,,,,
,,,,,,,,,,,,,,Grade AISI XEV-F,,,,,,
,,,,,,,,,,,,,,Type AISI XEV-F,,,,,,
,,,,,,,,,,,,,,XEV-F,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S63019,,,,,,
,,,,,,,,,,,,,,Grade UNS S63019,,,,,,
,,,,,,,,,,,,,,Type UNS S63019,,,,,,
,,,,,,,,,,,,,,UNS S63019,,,,,,
,,,,,,,,,,,,,,Grade Type UNS R30556,,,,,,
,,,,,,,,,,,,,,Grade UNS R30556,,,,,,
,,,,,,,,,,,,,,Type UNS R30556,,,,,,
,,,,,,,,,,,,,,UNS R30556,,,,,,
,,,,,,,,,,,,,,Grade Type 556,,,,,,
,,,,,,,,,,,,,,Grade 556,,,,,,
,,,,,,,,,,,,,,Type 556,,,,,,
,,,,,,,,,,,,,,556,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy 330,,,,,,
,,,,,,,,,,,,,,Grade Alloy 330,,,,,,
,,,,,,,,,,,,,,Type Alloy 330,,,,,,
,,,,,,,,,,,,,,Alloy 330,,,,,,
,,,,,,,,,,,,,,Grade Type 330,,,,,,
,,,,,,,,,,,,,,Grade 330,,,,,,
,,,,,,,,,,,,,,Type 330,,,,,,
,,,,,,,,,,,,,,330,,,,,,
,,,,,,,,,,,,,,Grade Type P92,,,,,,
,,,,,,,,,,,,,,Grade P92,,,,,,
,,,,,,,,,,,,,,Type P92,,,,,,
,,,,,,,,,,,,,,P92,,,,,,
,,,,,,,,,,,,,,Grade Type F92,,,,,,
,,,,,,,,,,,,,,Grade F92,,,,,,
,,,,,,,,,,,,,,Type F92,,,,,,
,,,,,,,,,,,,,,F92  ,,,,,,
,,,,,,,,,,,,,,Grade Type F92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade F92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type F92 cl. 1,,,,,,
,,,,,,,,,,,,,,F92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type WP92,,,,,,
,,,,,,,,,,,,,,Grade WP92,,,,,,
,,,,,,,,,,,,,,Type WP92,,,,,,
,,,,,,,,,,,,,,WP92,,,,,,
,,,,,,,,,,,,,,Grade Type WP92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade WP92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type WP92 Cl. 1,,,,,,
,,,,,,,,,,,,,,WP92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type TP92,,,,,,
,,,,,,,,,,,,,,Grade TP92,,,,,,
,,,,,,,,,,,,,,Type TP92,,,,,,
,,,,,,,,,,,,,,Grade Type TP92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade TP92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type TP92 Cl. 1,,,,,,
,,,,,,,,,,,,,,TP92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type FP92,,,,,,
,,,,,,,,,,,,,,Grade FP92,,,,,,
,,,,,,,,,,,,,,Type FP92,,,,,,
,,,,,,,,,,,,,,FP92 ,,,,,,
,,,,,,,,,,,,,,Grade Type FP92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade FP92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type FP92 Cl. 1,,,,,,
,,,,,,,,,,,,,,FP92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type 92,,,,,,
,,,,,,,,,,,,,,Grade 92,,,,,,
,,,,,,,,,,,,,,Type 92,,,,,,
,,,,,,,,,,,,,,92 ,,,,,,
,,,,,,,,,,,,,,Grade Type 92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade 92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type 92 Cl. 1,,,,,,
,,,,,,,,,,,,,,92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type T92,,,,,,
,,,,,,,,,,,,,,Grade T92,,,,,,
,,,,,,,,,,,,,,Type T92,,,,,,
,,,,,,,,,,,,,,T92 ,,,,,,
,,,,,,,,,,,,,,Grade Type T92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade T92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type T92 Cl. 1,,,,,,
,,,,,,,,,,,,,,T92 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K92460,,,,,,
,,,,,,,,,,,,,,Grade UNS K92460,,,,,,
,,,,,,,,,,,,,,Type UNS K92460,,,,,,
,,,,,,,,,,,,,,UNS K92460,,,,,,
,,,,,,,,,,,,,,Grade Type P91,,,,,,
,,,,,,,,,,,,,,Grade P91,,,,,,
,,,,,,,,,,,,,,Type P91,,,,,,
,,,,,,,,,,,,,,P91,,,,,,
,,,,,,,,,,,,,,Grade Type F91,,,,,,
,,,,,,,,,,,,,,Grade F91,,,,,,
,,,,,,,,,,,,,,Type F91,,,,,,
,,,,,,,,,,,,,,F91,,,,,,
,,,,,,,,,,,,,,Grade Type F91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade F91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Type F91 Cl. 2,,,,,,
,,,,,,,,,,,,,,F91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade Type WP91,,,,,,
,,,,,,,,,,,,,,Grade WP91,,,,,,
,,,,,,,,,,,,,,Type WP91,,,,,,
,,,,,,,,,,,,,,WP91,,,,,,
,,,,,,,,,,,,,,Grade Type WP91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade WP91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Type WP91 Cl. 2,,,,,,
,,,,,,,,,,,,,,WP91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade Type WP91/WP91W,,,,,,
,,,,,,,,,,,,,,Grade WP91/WP91W,,,,,,
,,,,,,,,,,,,,,Type WP91/WP91W,,,,,,
,,,,,,,,,,,,,,WP91/WP91W,,,,,,
,,,,,,,,,,,,,,Grade Type WP91W,,,,,,
,,,,,,,,,,,,,,Grade WP91W,,,,,,
,,,,,,,,,,,,,,Type WP91W,,,,,,
,,,,,,,,,,,,,,WP91W,,,,,,
,,,,,,,,,,,,,,Grade Type TP91,,,,,,
,,,,,,,,,,,,,,Grade TP91,,,,,,
,,,,,,,,,,,,,,Type TP91,,,,,,
,,,,,,,,,,,,,,TP91,,,,,,
,,,,,,,,,,,,,,Grade Type TP91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade TP91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Type TP91 Cl. 2,,,,,,
,,,,,,,,,,,,,,TP91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade Type FP91,,,,,,
,,,,,,,,,,,,,,Grade FP91,,,,,,
,,,,,,,,,,,,,,Type FP91,,,,,,
,,,,,,,,,,,,,,FP91,,,,,,
,,,,,,,,,,,,,,Grade Type FP91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade FP91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Type FP91 Cl. 2,,,,,,
,,,,,,,,,,,,,,FP91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade Type 91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade 91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Type 91 Cl. 2,,,,,,
,,,,,,,,,,,,,,91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade Type T91,,,,,,
,,,,,,,,,,,,,,Grade T91,,,,,,
,,,,,,,,,,,,,,Type T91,,,,,,
,,,,,,,,,,,,,,T91,,,,,,
,,,,,,,,,,,,,,Grade Type T91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade T91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Type T91 Cl. 2,,,,,,
,,,,,,,,,,,,,,T91 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K90901,,,,,,
,,,,,,,,,,,,,,Grade UNS K90901,,,,,,
,,,,,,,,,,,,,,Type UNS K90901,,,,,,
,,,,,,,,,,,,,,UNS K90901,,,,,,
,,,,,,,,,,,,,,Grade Type Alloy 316LN,,,,,,
,,,,,,,,,,,,,,Grade Alloy 316LN,,,,,,
,,,,,,,,,,,,,,Type Alloy 316LN,,,,,,
,,,,,,,,,,,,,,Alloy 316LN,,,,,,
,,,,,,,,,,,,,,Grade Type FP316LN,,,,,,
,,,,,,,,,,,,,,Grade FP316LN,,,,,,
,,,,,,,,,,,,,,Type FP316LN,,,,,,
,,,,,,,,,,,,,,Grade Type F316H,,,,,,
,,,,,,,,,,,,,,Grade F316H,,,,,,
,,,,,,,,,,,,,,Type F316H,,,,,,
,,,,,,,,,,,,,,F316H,,,,,,
,,,,,,,,,,,,,,Grade Type WP316H,,,,,,
,,,,,,,,,,,,,,Grade WP316H,,,,,,
,,,,,,,,,,,,,,Type WP316H,,,,,,
,,,,,,,,,,,,,,WP316H,,,,,,
,,,,,,,,,,,,,,Grade Type TP316H,,,,,,
,,,,,,,,,,,,,,Grade TP316H,,,,,,
,,,,,,,,,,,,,,Type TP316H,,,,,,
,,,,,,,,,,,,,,TP316H,,,,,,
,,,,,,,,,,,,,,Grade Type 316H,,,,,,
,,,,,,,,,,,,,,Grade 316H,,,,,,
,,,,,,,,,,,,,,Type 316H,,,,,,
,,,,,,,,,,,,,,316H,,,,,,
,,,,,,,,,,,,,,Grade Type FP316H,,,,,,
,,,,,,,,,,,,,,Grade FP316H,,,,,,
,,,,,,,,,,,,,,Type FP316H,,,,,,
,,,,,,,,,,,,,,FP316H,,,,,,
,,,,,,,,,,,,,,Grade Type AISI 316H,,,,,,
,,,,,,,,,,,,,,Grade AISI 316H,,,,,,
,,,,,,,,,,,,,,Type AISI 316H,,,,,,
,,,,,,,,,,,,,,AISI 316H,,,,,,
,,,,,,,,,,,,,,Grade Type P12,,,,,,
,,,,,,,,,,,,,,Grade P12,,,,,,
,,,,,,,,,,,,,,Type P12,,,,,,
,,,,,,,,,,,,,,P12,,,,,,
,,,,,,,,,,,,,,Grade Type WP12,,,,,,
,,,,,,,,,,,,,,Grade WP12,,,,,,
,,,,,,,,,,,,,,Type WP12,,,,,,
,,,,,,,,,,,,,,WP12,,,,,,
,,,,,,,,,,,,,,Grade Type TP12,,,,,,
,,,,,,,,,,,,,,Grade TP12,,,,,,
,,,,,,,,,,,,,,Type TP12,,,,,,
,,,,,,,,,,,,,,TP12,,,,,,
,,,,,,,,,,,,,,Grade Type 12,,,,,,
,,,,,,,,,,,,,,Grade 12,,,,,,
,,,,,,,,,,,,,,Type 12,,,,,,
,,,,,,,,,,,,,,12,,,,,,
,,,,,,,,,,,,,,Grade Type T12,,,,,,
,,,,,,,,,,,,,,Grade T12,,,,,,
,,,,,,,,,,,,,,Type T12,,,,,,
,,,,,,,,,,,,,,T12,,,,,,
,,,,,,,,,,,,,,Grade Type 12 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade 12 Cl. 1,,,,,,
,,,,,,,,,,,,,,Type 12 Cl. 1,,,,,,
,,,,,,,,,,,,,,12 Cl. 1,,,,,,
,,,,,,,,,,,,,,Grade Type 12 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade 12 Cl. 2,,,,,,
,,,,,,,,,,,,,,Type 12 Cl. 2,,,,,,
,,,,,,,,,,,,,,12 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade Type 1 CR,,,,,,
,,,,,,,,,,,,,,Grade 1 CR,,,,,,
,,,,,,,,,,,,,,Type 1 CR,,,,,,
,,,,,,,,,,,,,,1 CR,,,,,,
,,,,,,,,,,,,,,Grade Type FP12,,,,,,
,,,,,,,,,,,,,,Grade FP12,,,,,,
,,,,,,,,,,,,,,Type FP12,,,,,,
,,,,,,,,,,,,,,FP12,,,,,,
,,,,,,,,,,,,,,Grade Type FP12 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade FP12 Cl. 2,,,,,,
,,,,,,,,,,,,,,Type FP12 Cl. 2,,,,,,
,,,,,,,,,,,,,,FP12 Cl. 2,,,,,,
,,,,,,,,,,,,,,Grade Type UNS K11564,,,,,,
,,,,,,,,,,,,,,Grade UNS S11564,,,,,,
,,,,,,,,,,,,,,Type UNS S11564,,,,,,
,,,,,,,,,,,,,,UNS S11564,,,,,,
,,,,,,,,,,,,,,Grade Type 422,,,,,,
,,,,,,,,,,,,,,Grade 422,,,,,,
,,,,,,,,,,,,,,Type 422,,,,,,
,,,,,,,,,,,,,,422,,,,,,
,,,,,,,,,,,,,,Grade Type 616,,,,,,
,,,,,,,,,,,,,,Grade 616,,,,,,
,,,,,,,,,,,,,,Type 616,,,,,,
,,,,,,,,,,,,,,616,,,,,,
,,,,,,,,,,,,,,Grade Type HNV8,,,,,,
,,,,,,,,,,,,,,Grade HNV8,,,,,,
,,,,,,,,,,,,,,Type HNV8,,,,,,
,,,,,,,,,,,,,,HNV8,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S42200,,,,,,
,,,,,,,,,,,,,,Grade UNS S42200,,,,,,
,,,,,,,,,,,,,,Type UNS S42200,,,,,,
,,,,,,,,,,,,,,UNS S42200,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S42100,,,,,,
,,,,,,,,,,,,,,Grade UNS S42100,,,,,,
,,,,,,,,,,,,,,Type UNS S42100,,,,,,
,,,,,,,,,,,,,,UNS S42100,,,,,,
,,,,,,,,,,,,,,Grade Type UNS R30155,,,,,,
,,,,,,,,,,,,,,Grade UNS R30155,,,,,,
,,,,,,,,,,,,,,Type UNS R30155,,,,,,
,,,,,,,,,,,,,,UNS R30155,,,,,,
,,,,,,,,,,,,,,Grade Type 661,,,,,,
,,,,,,,,,,,,,,Grade 661,,,,,,
,,,,,,,,,,,,,,Type 661,,,,,,
,,,,,,,,,,,,,,661,,,,,,
,,,,,,,,,,,,,,Grade Type XM-32,,,,,,
,,,,,,,,,,,,,,Grade XM-32,,,,,,
,,,,,,,,,,,,,,Type XM-32,,,,,,
,,,,,,,,,,,,,,XM-32,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S64152,,,,,,
,,,,,,,,,,,,,,Grade UNS S64152,,,,,,
,,,,,,,,,,,,,,Type UNS S64152,,,,,,
,,,,,,,,,,,,,,UNS S64152,,,,,,
,,,,,,,,,,,,,,Grade Type 321,,,,,,
,,,,,,,,,,,,,,Grade 321,,,,,,
,,,,,,,,,,,,,,Type 321,,,,,,
,,,,,,,,,,,,,,Grade Type 660,,,,,,
,,,,,,,,,,,,,,Grade 660,,,,,,
,,,,,,,,,,,,,,Type 660,,,,,,
,,,,,,,,,,,,,,660,,,,,,
,,,,,,,,,,,,,,Grade Type AISI 660,,,,,,
,,,,,,,,,,,,,,Grade AISI 660,,,,,,
,,,,,,,,,,,,,,Type AISI 660,,,,,,
,,,,,,,,,,,,,,AISI 660,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S66545,,,,,,
,,,,,,,,,,,,,,Grade UNS S66545,,,,,,
,,,,,,,,,,,,,,Type UNS S66545,,,,,,
,,,,,,,,,,,,,,UNS S66545,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S66286,,,,,,
,,,,,,,,,,,,,,Grade UNS S66286,,,,,,
,,,,,,,,,,,,,,Type UNS S66286,,,,,,
,,,,,,,,,,,,,,UNS S66286,,,,,,
,,,,,,,,,,,,,,Grade Type F304H,,,,,,
,,,,,,,,,,,,,,Grade F304H,,,,,,
,,,,,,,,,,,,,,Type F304H,,,,,,
,,,,,,,,,,,,,,F304H,,,,,,
,,,,,,,,,,,,,,Grade Type WP304H,,,,,,
,,,,,,,,,,,,,,Grade WP304H,,,,,,
,,,,,,,,,,,,,,Type WP304H,,,,,,
,,,,,,,,,,,,,,WP304H,,,,,,
,,,,,,,,,,,,,,Grade Type TP304H,,,,,,
,,,,,,,,,,,,,,Grade TP304H,,,,,,
,,,,,,,,,,,,,,Type TP304H,,,,,,
,,,,,,,,,,,,,,TP304H,,,,,,
,,,,,,,,,,,,,,Grade Type 304H,,,,,,
,,,,,,,,,,,,,,Grade 304H,,,,,,
,,,,,,,,,,,,,,Type 304H,,,,,,
,,,,,,,,,,,,,,304H,,,,,,
,,,,,,,,,,,,,,Grade Type FP304H,,,,,,
,,,,,,,,,,,,,,Grade FP304H,,,,,,
,,,,,,,,,,,,,,Type FP304H,,,,,,
,,,,,,,,,,,,,,FP304H,,,,,,
,,,,,,,,,,,,,,Grade Type AISI 304H,,,,,,
,,,,,,,,,,,,,,Grade AISI 304H,,,,,,
,,,,,,,,,,,,,,Type AISI 304H,,,,,,
,,,,,,,,,,,,,,AISI 304H,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S30409,,,,,,
,,,,,,,,,,,,,,Grade UNS S30409,,,,,,
,,,,,,,,,,,,,,Type UNS S30409,,,,,,
,,,,,,,,,,,,,,UNS S30409,,,,,,
,,,,,,,,,,,,,,Grade Type F309H,,,,,,
,,,,,,,,,,,,,,Grade F309H,,,,,,
,,,,,,,,,,,,,,Type F309H,,,,,,
,,,,,,,,,,,,,,F309H,,,,,,
,,,,,,,,,,,,,,Grade Type WP309H,,,,,,
,,,,,,,,,,,,,,Grade WP309H,,,,,,
,,,,,,,,,,,,,,Type WP309H,,,,,,
,,,,,,,,,,,,,,WP309H,,,,,,
,,,,,,,,,,,,,,Grade Type TP309H,,,,,,
,,,,,,,,,,,,,,Grade TP309H,,,,,,
,,,,,,,,,,,,,,Type TP309H,,,,,,
,,,,,,,,,,,,,,TP309H,,,,,,
,,,,,,,,,,,,,,Grade Type 309H,,,,,,
,,,,,,,,,,,,,,Grade 309H,,,,,,
,,,,,,,,,,,,,,Type 309H,,,,,,
,,,,,,,,,,,,,,309H,,,,,,
,,,,,,,,,,,,,,Grade Type FP309H,,,,,,
,,,,,,,,,,,,,,Grade FP309H,,,,,,
,,,,,,,,,,,,,,Type FP309H,,,,,,
,,,,,,,,,,,,,,FP309H,,,,,,
,,,,,,,,,,,,,,Grade Type UNS S30909,,,,,,
,,,,,,,,,,,,,,Grade UNS S30909,,,,,,
,,,,,,,,,,,,,,Type UNS S30909,,,,,,
,,,,,,,,,,,,,,UNS S30909,,,,,,
,,,,,,,,,,,,,,Grade Type AISI 309H,,,,,,
,,,,,,,,,,,,,,Grade AISI 309H,,,,,,
,,,,,,,,,,,,,,Type AISI 309H,,,,,,
,,,,,,,,,,,,,,AISI 309H,,,,,,
,,,,,,,,,,,,,,Grade Type F310H,,,,,,
,,,,,,,,,,,,,,Grade F310H,,,,,,
,,,,,,,,,,,,,,Type F310H,,,,,,
,,,,,,,,,,,,,,Grade Type WP310H,,,,,,
,,,,,,,,,,,,,,Grade WP310H,,,,,,
